ResponseId,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
R_1N9aSItWbnAmFT7,64,woman,,Once a week,Episcopal,100,Multiple times a day,100,70,96,87,90,98,95,100,84,85,95,100,100,pray,0
R_1j9UFz5fQOORbkR,42,woman,,Once a week,Episcopal,100,Multiple times a day,86,69,97,53,86,84,51,100,80,100,100,28,63,pray,0
R_25uaYahdlEaTUyB,60,woman,,More than once a week,Episcopal,100,Multiple times a day,100,100,100,100,80,82,100,100,100,100,83,100,92,pray,0
R_2rHlS3FPsEchnQ3,53,man,,Once a week,Brethren,83,Multiple times a day,95,94,50,51,50,49,83,80,83,82,83,51,69,pray,0
R_06q8pymkLGe1La1,21,woman,,More than once a week,Episcopal,77,Daily,84,59,56,50,59,34,60,50,19,32,58,38,54,pray,0
R_DlaiGMEw9Tkug2l,57,man,,Once a week,Episcopal,88,Multiple times a week,50,27,100,47,71,75,74,76,48,25,66,22,74,pray,0
R_bBJMV8YEyXqdx6N,72,woman,,Once a week,Episcopal,97,Multiple times a week,95,73,49,16,32,13,46,39,99,22,42,58,61,pray,0
R_2fx7edMkoZ1vgRW,51,woman,,A few times a month,Episcopal,100,Multiple times a week,100,15,10,4,11,3,45,20,76,60,32,6,46,pray,0
R_28LEXJ1SzlVxjno,56,woman,,Once a week,Orthodox Presbyterian Church,100,Multiple times a week,100,67,100,100,75,73,100,70,100,100,100,74,52,pray,0
R_1FILbMEdEszxcCH,23,woman,,A few times a month,Episcopal,94,Multiple times a week,68,74,51,49,21,49,94,31,89,100,92,46,41,pray,0
R_3CZAKuVDvetoXQf,27,woman,,Once a week,nondenominational ,100,Multiple times a day,100,51,38,20,31,32,20,33,15,67,67,67,20,pray,0
R_CgfGG28pFdAg0j7,70,woman,,Once a week,Episcopal,100,Daily,100,61,69,44,91,55,77,30,83,72,72,50,84,pray,0
R_1Lh5lGQIZNfFWbI,79,woman,,Once a week,Christian and Missionary Alliance,100,Daily,100,67,100,100,100,100,100,100,99,100,100,98,100,pray,0
R_VVltAOyfeO7aMwx,68,woman,,More than once a week,Episcopal,89,Multiple times a day,83,51,95,49,61,62,63,45,47,48,73,50,52,pray,0
R_1PSNNpYelzoUIvU,68,woman,,Once a week,Episcopal,100,Multiple times a day,74,75,66,69,70,74,75,100,76,78,79,100,100,pray,0
R_27w1j5jnPkJxyZz,43,woman,,More than once a week,Episcopal,100,Multiple times a day,91,100,28,68,48,66,51,50,96,86,86,86,23,pray,0
R_3smFCB8q9JNRVGj,26,man,,Once a week,nondenominational ,62,Daily,44,80,29,35,29,40,44,30,31,59,45,23,32,pray,0
R_3n0hW2y99Opg2J8,56,woman,,A few times a month,Presbyterian Church,79,Multiple times a week,81,66,61,63,64,46,49,42,45,39,65,44,39,pray,0
R_2AZEXVAj2wZ6xr1,21,man,,Once a week,Mainline liturgical,100,Daily,100,9,75,36,12,48,11,18,78,42,80,50,49,pray,0
R_1gkGOUSMS22ehvP,53,woman,,Once a week,Episcopal ,97,Multiple times a day,93,99,99,60,49,75,83,93,82,60,70,93,50,pray,0
R_3erwCVN14x6qsYy,61,woman,,Once a week,Episcopal,97,Multiple times a day,91,68,82,55,40,61,78,49,46,49,72,56,49,pray,0
R_6LvI4lCmlIuC10d,77,man,,Once a week,Episcopal,94,A few times a month,72,47,60,75,73,72,100,90,86,83,100,92,38,pray,0
R_12JhfnIK0svfqOi,75,woman,,Once a week,Lutheran,96,Multiple times a day,43,25,57,63,6,41,73,76,95,93,100,83,78,pray,0
R_1psubobCnKoMPsY,29,woman,,A few times a month,I go to the episcopal church but I'm an orthodox,85,Once a month,58,2,51,26,79,79,5,9,8,10,37,35,35,pray,0
R_PFXLzgPhSessiS5,72,man,,Once a week,Episcopal,99,Multiple times a day,100,53,95,42,59,63,100,100,100,100,100,100,85,pray,0
R_3fVRiw3RA1khGN9,37,woman,,More than once a week,nondenominational ,1,Daily,8,51,76,3,2,5,54,38,60,70,58,18,48,pray,0
R_3qyQ7hknJxXfymE,54,woman,,Once a week,Episcopal,97,Daily,93,73,57,31,28,28,83,49,63,95,93,94,60,pray,0
R_RrTSldLZrh2iHlf,56,woman,,Once a week,Christian,100,Multiple times a day,93,100,100,62,62,75,100,85,87,90,100,100,52,pray,0
R_URpo1lzey8Uiqrv,22,man,,Once a week,nondenominational ,100,Multiple times a week,98,97,90,59,46,39,43,69,25,45,43,83,41,pray,0
R_28SfUELhrrzOOeo,35,woman,,A few times a month,Episcopal,100,Multiple times a day,99,86,71,71,47,46,68,27,81,82,81,57,8,pray,0
R_3NFeGiyvP2wmDLr,23,man,,More than once a week,nondenominational ,100,Multiple times a day,100,67,26,52,17,85,75,89,100,100,100,23,52,pray,0
R_8qB8R3qaEPxg1yh,64,woman,,Once a week,ELCA,97,Multiple times a day,100,98,100,43,68,68,90,75,99,67,96,46,79,pray,0
R_2P5rix3lpQNKnVc,48,man,,Once a week,Mennonite,100,Multiple times a week,100,45,47,46,47,47,47,47,46,57,58,59,45,pray,0
