StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,age,pronouns,pronouns_4_TEXT,churched,church_type,importance,freq_prayer,importance_1,aloud_silent,rote,process_description,instruction,ACTS,ACTS_use,group_alone,problem_articulation,journal,self,friend,change,switch,plan,optimism,delegate,responsibility,conflict,connected,positive,charity,values,relief,motivated,regret,regret_explain,heart,heart_6_TEXT,others,others_6_TEXT,intervene,intervene_6_TEXT
4/5/22 18:30,4/5/22 18:37,0,172.56.13.84,100,400,1,4/5/22 18:37,R_XuAJLyyrD5Oo7GF,,,,,39.7764,-86.1077,anonymous,EN,1,52,1,,3,Liturgical,11,4,6,3,3,"Around mealtimes, special occasions, in times of need or concern, and as I feel called",7,1,2,2,3,2,1,5,4,4,2,3,3,,2,7,3,2,4,4,3,,,2,,4,,4,
4/5/22 18:34,4/5/22 18:44,0,12.203.168.30,100,604,1,4/5/22 18:44,R_3pnmENkMv9xtjA8,,,,,39.7954,-86.2658,anonymous,EN,1,52,2,,3,Protestant liturgical,11,5,7,2,1,I go to an internal place in my mind and say the things I feel to God. I am usually in the middle of a chore/task like folding laundry or washing dishes. I also pray before I fall asleep at night.,7,1,1,2,2,4,2,3,2,4,2,3,2,,4,10,4,4,5,4,4,,,2,,4,,6,
4/5/22 19:18,4/5/22 19:24,0,98.46.134.24,100,389,1,4/5/22 19:24,R_2OPvtsQHFliE9uW,,,,,41.8018,-87.5993,anonymous,EN,1,26,1,,4,Roman Catholic,11,7,7,2,2,"Often, but not consistently before meals. Otherwise mostly unprompted. Generally short. Lord's Prayer is most common prayer from memory.",8,3,1,2,2,3,3,3,3,3,2,2,3,,2,7,4,4,4,3,3,,,4,,6,haven't really considered that.,6,Not sure how I think about that metaphysically.
4/5/22 19:24,4/5/22 20:25,0,68.50.200.69,100,3665,1,4/5/22 20:25,R_PRINhe7YzjksJNv,,,,,40.4444,-86.9256,anonymous,EN,1,23,2,,4,Nondenominational Christian Church ,11,7,6,2,2,"No routine, only when I feel internally prompted ",7,1,1,2,4,4,2,4,3,3,3,3,3,,4,9,5,5,5,4,3,,,2,,4,,3,
4/5/22 19:31,4/5/22 22:19,0,73.208.57.137,100,10035,1,4/5/22 22:19,R_r7LcMgLtq2yR2db,,,,,41.7454,-86.1387,anonymous,EN,1,27,1,,6,Catholic Parish,11,6,6,2,4,"I recite the Rosary at my prayer ""alter"", a table of icons, lit candles, incense, etc. This is daily and time is flexible.",8,1,3,2,3,1,1,2,4,2,2,4,4,,4,8,3,3,4,5,4,,,1,,6,When God decides it is necessary,4,
4/5/22 22:35,4/5/22 22:43,0,69.174.135.176,100,468,1,4/5/22 22:43,R_3fB3INi9QyH8WQw,,,,,40.4444,-86.9256,anonymous,EN,1,37,2,,6,Nondenominational ,11,5,6,2,2,Through out the day. Never the same. ,7,1,3,2,4,3,2,4,4,4,3,3,4,,4,9,4,4,4,2,2,,,1,,2,,1,
4/6/22 0:30,4/6/22 0:31,0,76.22.7.92,100,67,1,4/6/22 0:31,R_3rGueGgr1CyV350,,,,,48.7494,-122.4896,anonymous,EN,1,66,1,,5,Episcopal,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/22 0:42,4/6/22 0:54,0,98.247.19.7,100,690,1,4/6/22 0:54,R_1HiPHK0iPx6fJRS,,,,,48.799,-122.4499,anonymous,EN,1,40,2,,5,Episcopal ,11,7,6,2,2,"Morning and evening prayer personally in quiet, intermittent throughout the day as needed, and in gatherings frequently (book/prayer groups,etc.)",7,2,1,2,2,2,2,4,2,3,2,2,2,,2,9,4,4,3,4,2,,,4,,6,Unsure,6,Unsure
4/6/22 1:00,4/6/22 1:09,0,69.174.156.170,100,514,1,4/6/22 1:09,R_1kUMow3frvixgfM,,,,,40.4444,-86.9256,anonymous,EN,1,57,1,,5,Presbyterian,11,7,6,2,2,  I pray with my family before meals.  I pray with my family before bed. I pray on my own each morning while going for a walk outside. I pray with the congregation in church on Sundays.,5,1,2,2,4,1,1,5,4,2,2,3,2,,2,9,4,2,4,2,3,,,1,,4,,4,
4/6/22 1:22,4/6/22 1:24,0,108.184.173.89,100,157,1,4/6/22 1:24,R_1r1vtr7v6Pw24Hc,,,,,34.1091,-117.7126,anonymous,EN,1,27,1,,6,Episcopal ,11,5,7,2,5,"I pray compline every might, and the rosary at least once a day if I can.",6,2,2,2,2,2,3,4,3,4,3,3,3,,3,10,2,4,3,4,3,,,4,,4,,6,Really unsure to be honest 
4/6/22 1:25,4/6/22 1:33,0,73.97.205.175,100,495,1,4/6/22 1:33,R_1jldSi0I58cCm5Y,,,,,48.799,-122.4499,anonymous,EN,1,64,2,,5,Episcopal church,11,7,6,2,3,I pray before I walk into work. I pray Thru out the day if I am dealing with a difficult situation/ patient. I pray as I drive … ,7,1,2,2,5,4,3,3,4,2,4,4,3,,4,9,5,4,4,5,4,,,3,,3,,4,
4/6/22 1:12,4/6/22 1:34,0,69.174.156.170,100,1375,1,4/6/22 1:34,R_2WBbETJ1vqiFdEo,,,,,40.4444,-86.9256,anonymous,EN,1,59,2,,5,Christian (Presbyterian),11,7,6,2,2,"I pray with others at church, before meals, and once a day with family. I pray on my own when I am up with insomnia (most nights) while in bed and at other points in the day when my task allows me solitude and requires little of my brain.",6,1,2,2,2,3,1,2,3,3,2,4,3,,3,9,5,5,5,4,3,,,6,"Probably most times. This is hard to know, especially depending on your concept of what it means for God to be making the change",6,Also hard to know but definitely sometimes ,4,
4/6/22 1:35,4/6/22 1:38,0,207.6.65.89,100,223,1,4/6/22 1:38,R_tWmXOekw7w4YyAh,,,,,50.1098,-120.801,anonymous,EN,1,49,2,,5,Evagelical Free,11,7,6,2,2,"Although I pray spontaneously throughout the day, I do sit down and pray each morning. This is when I bring requests to God that I am praying for on a daily basis. ",7,1,2,2,2,2,2,4,3,2,2,3,2,,2,9,4,4,5,4,4,,,2,,4,,6,not sure!
4/6/22 1:34,4/6/22 1:39,0,161.35.58.151,100,260,1,4/6/22 1:39,R_Rqq2zBxQ3KpdRuN,,,,,40.793,-74.0247,anonymous,EN,1,82,1,,5,presbyterian,11,7,6,2,2,"Morning getting up, at meals, going to bed",9,1,2,2,2,1,1,3,2,2,2,2,4,,2,8,4,4,5,3,2,,,3,,4,,4,
4/6/22 1:44,4/6/22 1:47,0,76.22.66.4,100,204,1,4/6/22 1:47,R_2xXh7GyLOyw3yT8,,,,,48.7494,-122.4896,anonymous,EN,1,58,1,,6,Episcopal ,11,7,6,2,1,I pray randomly and talk to God throughout the day ,7,1,1,2,2,2,2,4,2,4,2,2,3,,3,9,4,4,5,2,3,,,1,,6,Unsure ,4,
4/6/22 1:58,4/6/22 2:06,0,73.225.27.174,100,510,1,4/6/22 2:06,R_1DCGBZpvsDoLfY5,,,,,48.6914,-122.4133,anonymous,EN,1,37,2,,4,Episcopal ,12,5,7,2,3,"Church service, evening prayer, meditating, when feels needed",8,2,1,2,3,1,2,4,3,2,2,4,2,,1,9,4,2,4,4,4,,,6,Enabled and encouraged ,3,,5,
4/6/22 2:19,4/6/22 2:27,0,68.59.170.7,100,464,1,4/6/22 2:27,R_3F2jHBWPVO5xToK,,,,,41.0537,-85.2513,anonymous,EN,1,28,2,,6,Catholic,11,7,6,2,2,"Specific routine and specific times of day (with the Bible in the mornings, prayers of thanksgiving/asking for help in the middle of the day, sometimes an examen at the end of the day)",7,1,2,2,3,2,2,4,4,4,3,3,2,,2,9,4,4,4,4,4,,,2,,4,,4,
4/6/22 2:30,4/6/22 2:35,0,50.34.168.6,100,322,1,4/6/22 2:35,R_2Bu6fqmp4nTp8ST,,,,,48.183,-122.1136,anonymous,EN,1,60,2,,5,Catholic/Episcopal ,11,7,6,2,2,"Varied. Sometimes formal like meals, most informal.",5,1,2,2,2,1,1,4,2,2,4,4,2,,2,9,4,4,5,4,4,,,2,,4,,4,
4/6/22 2:28,4/6/22 2:39,0,71.197.249.26,100,651,1,4/6/22 2:39,R_1DT5s5wSVVA5oq9,,,,,48.799,-122.4499,anonymous,EN,1,93,2,,6,Episcopal,11,6,7,1,2,I frequently talk to God during the day. Putting my prayers into words helps me to stay focused.,7,1,1,2,2,4,2,3,2,2,2,2,3,,2,9,4,2,4,3,3,,,2,,4,,4,
4/6/22 2:46,4/6/22 2:56,0,69.174.130.104,100,645,1,4/6/22 2:56,R_12Sbbxj05iuluki,,,,,40.399,-86.8575,anonymous,EN,1,28,1,,6,Roman Catholic Parish,11,7,6,2,2,"Quick prayer in the morning, Holy Mass, prayers before/during meals, before starting and during tasks at work, when arriving back home and before going to sleep at night
Not super structured or rhythmic, but working to make it more of a conversation with meaning",8,1,2,5,4,2,2,4,4,5,2,2,2,,4,9,2,4,4,2,2,,,1,,1,,6,Not sure? Sometimez?
4/6/22 4:11,4/6/22 4:17,0,73.59.65.212,100,358,1,4/6/22 4:17,R_241pz2rfdz6K3g3,,,,,48.6914,-122.4133,anonymous,EN,1,61,2,,5,Episcopal ,11,7,6,4,3,"Ongoing conversation with a God Who loves me. Not structured every day, but definitely routine. Sometimes Compline with a friend or small group. Always grace before meals. ",5,1,2,2,4,2,1,4,3,4,3,5,3,,4,9,4,2,5,2,4,,,3,,4,,4,
4/6/22 4:08,4/6/22 4:19,0,166.216.159.194,100,641,1,4/6/22 4:19,R_3pmbZNtfF5ak4KJ,,,,,42.4652,-83.3713,anonymous,EN,1,32,2,,5,Catholic,11,7,6,3,3,"Every morning I pray the rosary and pray through a daily reflection, then pray for other intentions. I try to continue conversation in prayer throughout the day.",7,1,2,2,2,2,2,4,4,2,4,4,5,,4,9,4,4,5,5,5,,,1,,1,,1,
4/6/22 4:18,4/6/22 4:22,0,73.35.168.83,100,266,1,4/6/22 4:22,R_2e9k2sJYF2ZNmsh,,,,,48.7494,-122.4896,anonymous,EN,1,40,2,,4,Episcopal,11,5,6,2,2,"I sit in silence and meditate as my prayer. I try to do this in the morning, but life often has other plans.",5,1,1,2,2,2,2,2,2,2,2,2,1,,2,9,4,4,2,2,2,,,4,,6,"I can't say never, because I don't know concretely.",5,
4/6/22 4:16,4/6/22 4:24,0,73.11.133.246,100,462,1,4/6/22 4:24,R_rfl2JEFNR1b5FHX,,,,,48.799,-122.4499,anonymous,EN,1,65,2,,5,Episcopal ,11,7,6,1,2,I pray when I get into bed and various random times during the day.  I talk to God randomly,8,3,1,2,3,2,4,4,2,3,2,2,1,,4,10,4,4,4,4,4,,,2,,4,,6,I don't believe God necessarily intervenes but I can't say for sure that they don't
4/6/22 4:45,4/6/22 4:50,0,68.39.230.166,100,264,1,4/6/22 4:50,R_1hSZswfHH60158u,,,,,41.151,-85.125,anonymous,EN,1,27,1,,6,Catholic,11,5,6,2,3,"Morning and evening, routines for repetitive prayer and some spontaneous sprinkled in",6,1,3,3,4,2,2,4,4,4,3,3,2,,4,10,4,3,4,3,4,,,2,,4,,2,
4/6/22 16:49,4/6/22 16:54,0,64.114.199.198,100,333,1,4/6/22 16:54,R_PA7G9hqoM7lrSgx,,,,,48.7808,-123.7037,anonymous,EN,1,52,1,,6,Evangelical Free Church,11,7,6,2,2,I start each day in prayer. It is part of my morning routine. I spend about 30 minutes reading my bible and praying. I also pray at unscheduled times throughout the day.,6,1,4,2,4,2,2,4,4,2,4,4,4,,4,9,4,4,5,4,4,,,2,,4,,2,
4/6/22 20:58,4/6/22 21:06,0,67.183.240.204,100,497,1,4/6/22 21:06,R_0e4nZkseA7g2apX,,,,,48.7494,-122.4896,anonymous,EN,1,68,2,,5,Presbyterian,12,7,6,3,2,"Spontaneous, no routine, some lists, mostly as needed!",7,1,2,2,4,2,2,4,4,3,3,3,4,,3,9,4,4,4,4,4,,,2,,4,,4,
4/6/22 22:13,4/6/22 22:19,0,96.52.102.238,100,321,1,4/6/22 22:19,R_sYHBvUn346dQIsp,,,,,53.632,-113.6363,anonymous,EN,1,57,1,,6,Christian & Missionary Alliance,11,7,6,3,2,Usually when I begin my day & end my day.,6,1,2,2,4,2,1,3,,2,4,4,4,,4,9,5,4,4,4,4,,,2,,4,,2,
4/7/22 3:06,4/7/22 3:10,0,66.244.80.83,100,227,1,4/7/22 3:10,R_3W2ZfSiQgjda55n,,,,,39.1397,-86.5141,anonymous,EN,1,25,2,,5,Episcopal ,12,3,7,1,3,No specific routine ,8,3,1,2,3,4,2,4,3,4,2,5,4,,2,9,4,2,4,2,1,,,2,,6,I don’t know ,4,
4/7/22 3:23,4/7/22 3:29,0,98.166.4.4,100,355,1,4/7/22 3:29,R_10NPgB5DOarE4JK,,,,,36.8071,-76.3658,anonymous,EN,1,25,1,,6,Episcopal ,11,6,7,2,2,"I don’t have a routine but I usually pray after I get into bed for the night, and occasionally during the moment of silence at school. It’s rarely planned and can happen in odd places like in the car before I leave a parking lot or in the middle of the grocery store. ",8,3,1,2,2,2,1,4,2,4,3,5,4,,3,9,4,4,5,5,4,,,2,,4,,3,
4/7/22 3:49,4/7/22 4:20,0,184.83.200.107,100,1879,1,4/7/22 4:20,R_1nPWYxzCVaui9ug,,,,,43.5235,-96.7385,anonymous,EN,1,78,1,,6,Baptist,11,7,6,2,2,"Pray while walking, pray around table with spouse and when prompted during the day. Pray more in morning ",7,1,3,3,4,1,1,4,4,3,2,4,4,,4,10,4,4,4,3,4,,,1,,2,,2,
4/7/22 7:20,4/7/22 7:35,0,73.53.123.40,100,888,1,4/7/22 7:35,R_ZvMvcC1MatuS7T3,,,,,48.799,-122.4499,anonymous,EN,1,79,2,,6,Episcopal Anchorhold,11,7,6,2,2,"After 40 years as a priest, and 18 years as an Anchorite, under vows of Silence, Solitude, and Simplicity, my prayer has evolved over the years from monastic daily offices and Eucharist to a much simpler form of the breviary and Psalter, used as the Spirit leads, and a much great time of silence accompanied by a near constant usage of the Jesus Prayer in the silence of the heart.",6,1,1,2,2,2,2,2,2,2,2,2,5,,,,,,2,2,2,,,4,,6,not really my business!,6,God is NOT Santa Claus; my purpose in praying is not to FIX things!
4/7/22 16:05,4/7/22 16:08,0,98.186.120.35,100,182,1,4/7/22 16:08,R_24BPD7Hb76pVl22,,,,,38.8253,-97.6389,anonymous,EN,1,31,1,,5,Catholic,11,5,6,2,3,It varies. Sometimes involves reading the Bible and reciting memorized prayers. At other times it's more like a conversation. ,6,1,2,2,2,2,2,2,2,2,2,2,2,,2,7,2,2,2,2,2,,,4,,4,,4,
4/8/22 13:29,4/8/22 13:36,0,67.168.93.121,100,424,1,4/8/22 13:36,R_2EaTBJ5oLxP3W66,,,,,48.7494,-122.4896,anonymous,EN,1,62,2,,5,Episcopal ,11,7,6,2,3,Morning and evening- and when there is crisis,5,1,4,2,4,2,1,4,3,3,2,4,3,,4,10,5,4,4,4,4,,,1,,4,,4,
4/8/22 13:43,4/8/22 13:49,0,129.74.37.253,100,379,1,4/8/22 13:49,R_21HWH6BnUpef3x6,,,,,41.6853,-86.2329,anonymous,EN,1,53,1,,5,Christian reformed,11,7,6,2,2,"I pray early in the morning about an hour after getting up.  I typically pray through a list (names of friends and family members, specific prayer requests, etc) and also spend some time meditating or just adding my own thoughts and prayers beyond the list.  Sometimes I journal, sometimes I pray through scripture, and sometimes I use imagery rather than “mental words”",5,1,2,2,2,2,4,3,2,2,2,3,3,,2,9,4,4,3,2,2,,,4,,4,,4,
4/8/22 14:27,4/8/22 14:35,0,136.37.124.112,100,449,1,4/8/22 14:35,R_3KvVwhYKRLj1sll,,,,,38.8868,-94.8223,anonymous,EN,1,73,2,,4,catholic,11,6,6,4,2,first thing in the morning as I look out my office window.,8,3,1,2,5,1,1,5,4,2,2,2,1,,5,10,5,5,5,1,5,,,5,,5,,4,
4/8/22 14:36,4/8/22 14:47,0,73.217.115.123,100,612,1,4/8/22 14:47,R_SSOgvrLNChfvQsh,,,,,38.9203,-104.7005,anonymous,EN,1,71,2,,2,Methodist,11,3,6,1,4,At bedtime,8,3,1,1,4,2,1,5,4,2,2,4,1,,2,7,2,1,5,2,5,,,1,,5,,4,
4/8/22 14:47,4/8/22 14:54,0,149.161.155.230,100,462,1,4/8/22 14:54,R_cwFWv2Kv4RYZTAR,,,,,39.1707,-86.519,anonymous,EN,1,28,2,,4,Episcopal church - but only to sing in the choir ,12,3,9,3,2,No specific routine. I just pray when I feel the need for it,9,3,1,2,2,1,5,1,2,1,2,1,3,,1,8,3,1,3,2,1,,,4,,6,I wish I knew ,6,Don't know 
4/8/22 15:32,4/8/22 15:36,0,138.251.182.121,100,267,1,4/8/22 15:36,R_32QPF4l88SWcBDx,,,,,56.3782,-2.9365,anonymous,EN,1,49,1,,5,Anglican,11,7,6,4,3,Use app for prayer on my phone. Often pray in the car going to and from work each day. Pray at meals.,5,1,2,2,3,2,2,4,4,3,3,3,1,,3,8,4,4,4,5,4,,,4,,4,,6,I don’t think God ever intervened solely because of my prayer
4/8/22 15:41,4/8/22 15:47,0,73.225.40.159,100,332,1,4/8/22 15:47,R_1joW00myiRvXi2Z,,,,,48.799,-122.4499,anonymous,EN,1,57,1,,3,Episcopalian,11,3,9,2,2,A,7,1,1,2,4,1,4,2,2,4,2,4,2,,4,9,4,4,4,2,4,,,4,,4,,4,
4/8/22 15:56,4/8/22 15:57,0,208.38.248.76,100,34,1,4/8/22 15:57,R_1DoOGHZVVKIToqc,,,,,40.4444,-86.9256,anonymous,EN,1,25,2,,1,N/A,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/22 15:54,4/8/22 15:58,0,128.210.106.65,100,217,1,4/8/22 15:58,R_2AKlHic8OOcU1TW,,,,,40.4444,-86.9256,anonymous,EN,1,22,2,,4,varies,11,6,7,2,2,mainly at night before bed but sometimes in the mornibg,7,2,1,2,4,2,1,4,3,5,2,4,2,,4,9,4,4,5,5,5,,,4,,4,,4,
4/8/22 15:54,4/8/22 15:59,0,69.174.135.176,100,292,1,4/8/22 15:59,R_33ycXNrEs8DMtNX,,,,,40.4444,-86.9256,anonymous,EN,1,27,2,,5,Non-denominational,11,7,6,2,2,"No specific routine. I work with people who pray, so sometimes we pray together at work. It’s usually pretty sporadic throughout the day, and I pray alone more often than I pray with others. ",7,1,2,2,4,4,2,4,4,3,3,3,4,,4,10,4,4,5,4,3,,,2,,6,"This feels hard to answer because it’s not something you can always see/know has happened. I think that God does work in others as a result of us advocating for them, but my prayer would never change someone else who wasn’t willing or trying to change. ",2,
4/8/22 16:08,4/8/22 16:12,0,107.77.207.156,100,211,1,4/8/22 16:12,R_WlKhFsTfhlvHla9,,,,,41.8764,-87.6133,anonymous,EN,1,22,2,,5,Nondenominational ,11,6,6,3,1,"Very random and sporadic. Sometimes long, sometimes short. Typically after I finish reading some scripture.",7,3,1,2,3,4,4,2,2,3,2,3,3,,2,9,5,5,4,3,2,,,2,,4,,4,
4/5/22 20:40,4/8/22 16:17,0,72.12.202.194,100,243429,1,4/8/22 16:17,R_4Zuw1Q7srbIazJL,,,,,40.399,-86.8575,anonymous,EN,1,22,2,,5,Nondenominational and United Methodist (depending on if I’m at home or college),11,6,6,2,2,"I don’t necessarily have a routine - when I am told or reminded of a person or situation that needs prayer, I usually just think a short one in the moment. I grew up Methodist so I also use liturgical prayers to guide more extended times of personal prayer (typically on the weekends when I’m not as busy).",5,1,2,2,4,4,2,4,3,4,2,4,4,,2,9,4,4,5,3,3,,,2,,4,,4,
4/8/22 16:19,4/8/22 16:28,0,73.181.100.57,100,549,1,4/8/22 16:28,R_sNHp1vrGq9YSwY9,,,,,39.5892,-105.1359,anonymous,EN,1,59,2,,6,Non denomination Christian & Catholic online,11,7,6,2,2,"First hour of the day
Study Bible & pray biblically and specifically for world, people in my life & me",6,1,4,2,3,3,3,2,2,3,2,2,4,,4,7,2,4,5,4,4,,,1,,2,,1,
4/8/22 16:14,4/8/22 16:30,0,73.217.91.186,100,928,1,4/8/22 16:30,R_3P4QW7kkjGSUSXP,,,,,39.5972,-105.001,anonymous,EN,1,27,2,,5,Non-denominational,11,7,6,2,2,"I usually pray at some point near the start of the day, through out the day when I get anxious, and at the end of the day. Ideally (but only a few days a week) I like to read my Bible and do a bit longer journal/prayer time at least once a day.",7,1,3,2,3,2,2,4,4,4,3,3,4,,4,9,4,4,4,4,3,,,2,,4,,6,"I think He is probably up to something most the time, but I rarely see results I expect or noticed "
4/8/22 16:28,4/8/22 16:35,0,172.97.138.88,100,374,1,4/8/22 16:35,R_9mZrSPwlnozuxLr,,,,,45.6171,-73.7488,anonymous,EN,1,54,2,,4,Christian reformed,11,5,9,1,2,"No routine. I focus on gratitude, listing things I am thankful for. I also petition, generally for people who have burdens in their lives—my kids, friends, siblings. I lose focus quickly. My prayers are brief, and they are abandoned by distraction more often than purposefully concluded. ",9,1,1,1,2,2,2,1,2,3,1,2,1,,1,7,3,1,4,2,1,,,4,,5,,4,
4/8/22 16:35,4/8/22 16:40,0,128.210.106.60,100,306,1,4/8/22 16:40,R_1QDF8JUQA4hX5pn,,,,,40.4444,-86.9256,anonymous,EN,1,20,2,,1,i don’t ,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/22 17:00,4/8/22 17:21,0,174.29.62.82,100,1270,1,4/8/22 17:21,R_2TXKp3aWiOmDz0L,,,,,39.6253,-104.7863,anonymous,EN,1,59,2,,5,Unitarian Universalist ,11,7,6,2,4,"At rising in the morning. 
Moments throughout the day. 
Before I go to sleep. ",6,1,2,2,2,4,3,3,2,4,4,4,4,,4,9,4,5,5,4,5,,,4,,6,I believe any internal changes are a result of the introspection of the individual who is praying not the subject they are praying for. ,6,A puppeteer kind of God does not resonate with me. The idea that an individual can have that kind of power is not reasonable. 
4/8/22 17:35,4/8/22 17:40,0,128.211.185.215,100,336,1,4/8/22 17:40,R_3HByiaR2gOn1P7G,,,,,40.4444,-86.9256,anonymous,EN,1,21,2,,5,Non-denominational ,11,6,6,2,2,"Almost every morning I write down a prayer in my journal. It's usually a prayer for the day and whatever I'm thinking about that morning. Besides that, I will pray spontaneously whenever I feel the urge to. ",8,1,2,2,4,2,2,2,2,2,2,4,3,,2,10,4,3,4,5,3,,,2,,4,,4,
4/8/22 19:00,4/8/22 19:03,0,172.56.12.213,100,190,1,4/8/22 19:03,R_dbPcZprp8gfE15n,,,,,39.82910156,-86.08589935,anonymous,EN,1,20,2,,5,Non-denomenational ,11,7,6,2,2,"In the morning, in the shower, before bed and when I’m sitting with God for designated time",6,1,2,2,4,4,2,4,2,5,2,2,2,,2,10,4,5,5,2,3,,,1,,3,,3,
