StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,initials,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
8/8/22 18:42,8/8/22 18:44,IP Address,99.137.48.82,100,133,TRUE,8/8/22 18:44,R_1j9UFz5fQOORbkR,,,,,39.1397,-86.5141,anonymous,EN,AME,42,woman,,Once a week,Episcopal,100,Multiple times a day,86,69,97,53,86,84,51,100,80,100,100,28,63,pray,0
8/9/22 18:35,8/9/22 18:37,IP Address,76.22.65.107,100,117,TRUE,8/9/22 18:37,R_25uaYahdlEaTUyB,,,,,48.8645,-122.5953,anonymous,EN,KM,60,woman,,More than once a week,Episcopal,100,Multiple times a day,100,100,100,100,80,82,100,100,100,100,83,100,92,pray,0
8/10/22 22:31,8/10/22 22:35,IP Address,73.34.82.197,100,242,TRUE,8/10/22 22:35,R_2rHlS3FPsEchnQ3,,,,,39.5972,-105.001,anonymous,EN,AB,53,man,,Once a week,Brethren,83,Multiple times a day,95,94,50,51,50,49,83,80,83,82,83,51,69,pray,0
8/12/22 1:35,8/12/22 1:39,IP Address,76.121.44.221,100,183,TRUE,8/12/22 1:39,R_06q8pymkLGe1La1,,,,,48.7494,-122.4896,anonymous,EN,JH,21,woman,,More than once a week,Episcopal,77,Daily,84,59,56,50,59,34,60,50,19,32,58,38,54,pray,0
8/12/22 21:43,8/12/22 21:46,IP Address,161.69.123.10,100,148,TRUE,8/12/22 21:46,R_DlaiGMEw9Tkug2l,,,,,37.751,-97.822,anonymous,EN,BBT,57,man,,Once a week,Episcopal,88,Multiple times a week,50,27,100,47,71,75,74,76,48,25,66,22,74,pray,0
8/12/22 22:08,8/12/22 22:10,IP Address,172.92.254.142,100,112,TRUE,8/12/22 22:10,R_bBJMV8YEyXqdx6N,,,,,48.2011,-122.378,anonymous,EN,CC,72,woman,,Once a week,Episcopal,97,Multiple times a week,95,73,49,16,32,13,46,39,99,22,42,58,61,pray,0
8/12/22 23:11,8/12/22 23:14,IP Address,165.134.213.95,100,206,TRUE,8/12/22 23:14,R_2fx7edMkoZ1vgRW,,,,,38.6154,-90.2159,anonymous,EN,SBT,51,woman,,A few times a month,Episcopal,100,Multiple times a week,100,15,10,4,11,3,45,20,76,60,32,6,46,pray,0
8/15/22 22:43,8/15/22 22:46,IP Address,174.240.98.157,100,182,TRUE,8/15/22 22:46,R_28LEXJ1SzlVxjno,,,,,42.9469,-85.6206,anonymous,EN,AT,56,woman,,Once a week,Orthodox Presbyterian Church,100,Multiple times a week,100,67,100,100,75,73,100,70,100,100,100,74,52,pray,0
8/16/22 18:36,8/16/22 18:38,IP Address,65.102.135.68,100,140,TRUE,8/16/22 18:38,R_1FILbMEdEszxcCH,,,,,47.6901,-122.3747,anonymous,EN,ZM,23,woman,,A few times a month,Episcopal,94,Multiple times a week,68,74,51,49,21,49,94,31,89,100,92,46,41,pray,0
8/16/22 19:05,8/16/22 19:08,IP Address,66.186.213.1,100,164,TRUE,8/16/22 19:08,R_3CZAKuVDvetoXQf,,,,,40.1773,-105.1009,anonymous,EN,BMB,27,woman,,Once a week,nondenominational ,100,Multiple times a day,100,51,38,20,31,32,20,33,15,67,67,67,20,pray,0
8/16/22 19:41,8/16/22 19:44,IP Address,174.21.17.9,100,197,TRUE,8/16/22 19:44,R_CgfGG28pFdAg0j7,,,,,47.6137,-122.3104,anonymous,EN,LR,70,woman,,Once a week,Episcopal,100,Daily,100,61,69,44,91,55,77,30,83,72,72,50,84,pray,0
8/16/22 20:35,8/16/22 20:38,IP Address,50.98.17.78,100,218,TRUE,8/16/22 20:38,R_1Lh5lGQIZNfFWbI,,,,,51.0038,-118.1838,anonymous,EN,BBB,79,woman,,Once a week,Christian and Missionary Alliance,100,Daily,100,67,100,100,100,100,100,100,99,100,100,98,100,pray,0
8/17/22 0:30,8/17/22 0:34,IP Address,73.53.123.87,100,246,TRUE,8/17/22 0:34,R_VVltAOyfeO7aMwx,,,,,48.6914,-122.4133,anonymous,EN,MM,68,woman,,More than once a week,Episcopal,89,Multiple times a day,83,51,95,49,61,62,63,45,47,48,73,50,52,pray,0
8/17/22 1:32,8/17/22 1:37,IP Address,24.17.159.58,100,282,TRUE,8/17/22 1:37,R_1PSNNpYelzoUIvU,,,,,48.6914,-122.4133,anonymous,EN,TB,68,woman,,Once a week,Episcopal,100,Multiple times a day,74,75,66,69,70,74,75,100,76,78,79,100,100,pray,0
8/18/22 22:14,8/18/22 22:17,IP Address,173.14.245.141,100,203,TRUE,8/18/22 22:17,R_27w1j5jnPkJxyZz,,,,,47.9005,-122.2472,anonymous,EN,LRH,43,woman,,More than once a week,Episcopal,100,Multiple times a day,91,100,28,68,48,66,51,50,96,86,86,86,23,pray,0
8/20/22 1:07,8/20/22 1:13,IP Address,47.7.10.89,100,363,TRUE,8/20/22 1:13,R_3smFCB8q9JNRVGj,,,,,45.9937,-123.9243,anonymous,EN,APB,26,man,,Once a week,nondenominational ,62,Daily,44,80,29,35,29,40,44,30,31,59,45,23,32,pray,0
8/22/22 23:15,8/22/22 23:17,IP Address,65.188.92.181,100,149,TRUE,8/22/22 23:17,R_3n0hW2y99Opg2J8,,,,,35.2137,-81.122,anonymous,EN,EJT,56,woman,,A few times a month,Presbyterian Church,79,Multiple times a week,81,66,61,63,64,46,49,42,45,39,65,44,39,pray,0
8/23/22 23:45,8/23/22 23:48,IP Address,50.34.91.169,100,154,TRUE,8/23/22 23:48,R_2AZEXVAj2wZ6xr1,,,,,48.0589,-122.1579,anonymous,EN,DS,21,man,,Once a week,Mainline liturgical,100,Daily,100,9,75,36,12,48,11,18,78,42,80,50,49,pray,0
8/24/22 1:32,8/24/22 1:34,IP Address,166.137.115.14,100,101,TRUE,8/24/22 1:34,R_1gkGOUSMS22ehvP,,,,,32.7797,-96.8022,anonymous,EN,AF,53,woman,,Once a week,Episcopal ,97,Multiple times a day,93,99,99,60,49,75,83,93,82,60,70,93,50,pray,0
8/25/22 1:38,8/25/22 1:41,IP Address,76.135.129.224,100,173,TRUE,8/25/22 1:41,R_3erwCVN14x6qsYy,,,,,48.799,-122.4499,anonymous,EN,MKM,61,woman,,Once a week,Episcopal,97,Multiple times a day,91,68,82,55,40,61,78,49,46,49,72,56,49,pray,0
8/29/22 22:38,8/29/22 22:42,IP Address,75.15.15.57,100,226,TRUE,8/29/22 22:42,R_6LvI4lCmlIuC10d,,,,,39.1397,-86.5141,anonymous,EN,TRK,77,man,,Once a week,Episcopal,94,A few times a month,72,47,60,75,73,72,100,90,86,83,100,92,38,pray,0
8/30/22 0:18,8/30/22 0:21,IP Address,174.21.21.24,100,190,TRUE,8/30/22 0:21,R_12JhfnIK0svfqOi,,,,,47.6901,-122.3747,anonymous,EN,LV,75,woman,,Once a week,Lutheran,96,Multiple times a day,43,25,57,63,6,41,73,76,95,93,100,83,78,pray,0
8/30/22 23:54,8/30/22 23:58,IP Address,149.159.4.8,100,240,TRUE,8/30/22 23:58,R_1psubobCnKoMPsY,,,,,39.2273,-86.466,anonymous,EN,EY,29,woman,,A few times a month,I go to the episcopal church but I'm an orthodox,85,Once a month,58,2,51,26,79,79,5,9,8,10,37,35,35,pray,0
8/31/22 22:33,8/31/22 22:36,IP Address,45.16.200.5,100,147,TRUE,8/31/22 22:36,R_PFXLzgPhSessiS5,,,,,39.1397,-86.5141,anonymous,EN,RAS,72,man,,Once a week,Episcopal,99,Multiple times a day,100,53,95,42,59,63,100,100,100,100,100,100,85,pray,0
9/1/22 22:41,9/1/22 22:43,IP Address,208.127.82.186,100,109,TRUE,9/1/22 22:43,R_3fVRiw3RA1khGN9,,,,,39.7388,-104.9868,anonymous,EN,EB,37,woman,,More than once a week,nondenominational ,1,Daily,8,51,76,3,2,5,54,38,60,70,58,18,48,pray,0
9/3/22 22:36,9/3/22 22:39,IP Address,69.223.61.39,100,142,TRUE,9/3/22 22:39,R_3qyQ7hknJxXfymE,,,,,39.1397,-86.5141,anonymous,EN,SuS,54,woman,,Once a week,Episcopal,97,Daily,93,73,57,31,28,28,83,49,63,95,93,94,60,pray,0
9/6/22 18:06,9/6/22 18:09,IP Address,67.166.63.62,100,182,TRUE,9/6/22 18:09,R_RrTSldLZrh2iHlf,,,,,39.4491,-108.045,anonymous,EN,LE,56,woman,,Once a week,Christian,100,Multiple times a day,93,100,100,62,62,75,100,85,87,90,100,100,52,pray,0
9/6/22 18:39,9/6/22 18:41,IP Address,208.38.248.76,100,105,TRUE,9/6/22 18:41,R_URpo1lzey8Uiqrv,,,,,40.4444,-86.9256,anonymous,EN,IS,22,man,,Once a week,nondenominational ,100,Multiple times a week,98,97,90,59,46,39,43,69,25,45,43,83,41,pray,0
9/6/22 21:42,9/6/22 21:44,IP Address,73.11.220.218,100,159,TRUE,9/6/22 21:44,R_28SfUELhrrzOOeo,,,,,48.799,-122.4499,anonymous,EN,SD,35,woman,,A few times a month,Episcopal,100,Multiple times a day,99,86,71,71,47,46,68,27,81,82,81,57,8,pray,0
9/6/22 23:06,9/6/22 23:08,IP Address,199.66.70.254,100,130,TRUE,9/6/22 23:08,R_3NFeGiyvP2wmDLr,,,,,40.3228,-86.8881,anonymous,EN,EC,23,man,,More than once a week,nondenominational ,100,Multiple times a day,100,67,26,52,17,85,75,89,100,100,100,23,52,pray,0
9/8/22 21:05,9/8/22 21:08,IP Address,68.58.35.26,100,152,TRUE,9/8/22 21:08,R_8qB8R3qaEPxg1yh,,,,,39.1397,-86.5141,anonymous,EN,AW,64,woman,,Once a week,ELCA,97,Multiple times a day,100,98,100,43,68,68,90,75,99,67,96,46,79,pray,0
9/10/22 21:06,9/10/22 21:08,IP Address,69.75.150.2,100,107,TRUE,9/10/22 21:08,R_2P5rix3lpQNKnVc,,,,,34.0758,-118.3764,anonymous,EN,MP,48,man,,Once a week,Mennonite,100,Multiple times a week,100,45,47,46,47,47,47,47,46,57,58,59,45,pray,0
